Epoch, Exe_time, Loss 
245, 0.01, 0.391 
246, 0.01, 0.391 
247, 0.01, 0.391 
248, 0.01, 0.391 
249, 0.01, 0.391 
250, 0.01, 0.391 
251, 0.01, 0.391 
252, 0.01, 0.391 
253, 0.01, 0.391 
254, 0.01, 0.391 
255, 0.01, 0.391 
256, 0.01, 0.391 
257, 0.01, 0.391 
258, 0.01, 0.391 
259, 0.01, 0.391 
260, 0.01, 0.390 
261, 0.01, 0.391 
262, 0.01, 0.391 
263, 0.01, 0.391 
264, 0.01, 0.391 
265, 0.01, 0.391 
266, 0.01, 0.390 
267, 0.01, 0.390 
268, 0.01, 0.391 
269, 0.01, 0.390 
270, 0.01, 0.390 
271, 0.01, 0.390 
272, 0.01, 0.390 
273, 0.01, 0.391 
274, 0.01, 0.390 
275, 0.01, 0.390 
276, 0.01, 0.390 
277, 0.01, 0.390 
278, 0.01, 0.390 
279, 0.01, 0.390 
280, 0.01, 0.390 
281, 0.01, 0.390 
282, 0.01, 0.390 
283, 0.01, 0.390 
284, 0.01, 0.390 
285, 0.01, 0.390 
286, 0.01, 0.390 
287, 0.01, 0.390 
288, 0.01, 0.390 
289, 0.01, 0.390 
290, 0.01, 0.390 
291, 0.01, 0.390 
292, 0.01, 0.390 
293, 0.01, 0.390 
294, 0.01, 0.390 
295, 0.01, 0.390 
296, 0.01, 0.390 
297, 0.01, 0.390 
298, 0.01, 0.390 
299, 0.01, 0.390 
300, 0.01, 0.391 
301, 0.01, 0.390 
302, 0.01, 0.390 
303, 0.01, 0.390 
304, 0.01, 0.390 
305, 0.01, 0.390 
306, 0.01, 0.390 
307, 0.01, 0.390 
308, 0.01, 0.390 
309, 0.01, 0.390 
310, 0.01, 0.390 
311, 0.01, 0.390 
312, 0.01, 0.390 
313, 0.01, 0.390 
314, 0.01, 0.390 
315, 0.01, 0.390 
316, 0.01, 0.390 
317, 0.01, 0.390 
318, 0.01, 0.390 
319, 0.01, 0.390 
320, 0.01, 0.390 
321, 0.01, 0.390 
322, 0.01, 0.390 
323, 0.01, 0.390 
324, 0.01, 0.390 
325, 0.01, 0.390 
326, 0.01, 0.390 
327, 0.01, 0.390 
328, 0.01, 0.390 
329, 0.01, 0.390 
330, 0.01, 0.390 
331, 0.01, 0.390 
332, 0.01, 0.390 
333, 0.01, 0.390 
334, 0.01, 0.390 
335, 0.01, 0.390 
336, 0.01, 0.390 
337, 0.01, 0.390 
338, 0.01, 0.390 
339, 0.01, 0.390 
340, 0.01, 0.390 
341, 0.01, 0.390 
342, 0.01, 0.390 
343, 0.01, 0.390 
344, 0.01, 0.390 
345, 0.01, 0.390 
346, 0.01, 0.390 
347, 0.01, 0.390 
348, 0.01, 0.390 
349, 0.01, 0.390 
350, 0.01, 0.390 
351, 0.01, 0.390 
352, 0.01, 0.390 
353, 0.01, 0.390 
354, 0.01, 0.390 
355, 0.01, 0.390 
356, 0.01, 0.390 
357, 0.01, 0.390 
358, 0.01, 0.390 
359, 0.01, 0.390 
360, 0.01, 0.390 
361, 0.01, 0.390 
362, 0.01, 0.390 
363, 0.01, 0.390 
364, 0.01, 0.390 
365, 0.01, 0.390 
366, 0.01, 0.390 
367, 0.01, 0.390 
368, 0.01, 0.390 
369, 0.01, 0.390 
370, 0.01, 0.390 
371, 0.01, 0.390 
372, 0.01, 0.390 
373, 0.01, 0.390 
374, 0.01, 0.390 
375, 0.01, 0.390 
376, 0.01, 0.390 
377, 0.01, 0.390 
378, 0.01, 0.390 
379, 0.01, 0.390 
380, 0.01, 0.390 
381, 0.01, 0.390 
382, 0.01, 0.390 
383, 0.01, 0.390 
384, 0.01, 0.390 
385, 0.01, 0.390 
386, 0.01, 0.390 
387, 0.01, 0.390 
388, 0.01, 0.390 
389, 0.01, 0.390 
390, 0.01, 0.390 
391, 0.01, 0.390 
392, 0.01, 0.390 
393, 0.01, 0.390 
394, 0.01, 0.390 
395, 0.01, 0.390 
396, 0.01, 0.390 
397, 0.01, 0.390 
398, 0.01, 0.390 
399, 0.01, 0.390 
400, 0.01, 0.390 
